tier,object,scientific_decision,artwork_action,rationale
Supplementary,Supplementary Figure S2b,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S2c,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S2d,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S3a,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S3b,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S4a,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S4b,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S4c,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S4d,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S4e,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S5a,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S5b,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S5c,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S5d,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S6a,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S6b,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S6c,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S7a,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S7b,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S7c,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S7d,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S8a,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S8b,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S8c,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S8d,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S9a,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S9b,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S9c,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S9d,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S10a,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S10b,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S10c,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
Supplementary,Supplementary Figure S10d,KEEP,DISPLAY_ID_RENUMBER_ONLY,Scientific panel retained byte-identically; display identifier follows first-citation order.
