object,tier,current_evidence_role,decision,new_display_panel,claim_owner_after_prune,reason
Supplementary Figure S5a,Supplementary,tested and BH-significant gene counts across GSE174188 branches,KEEP,a,Supplementary Figure S5a,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S5b,Supplementary,edgeR common and median tagwise dispersion diagnostics,KEEP,b,Supplementary Figure S5b,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S5c,Supplementary,ranked-list technical-family contamination audit,KEEP,c,Supplementary Figure S5c,Unique diagnostic or boundary evidence; overlap with main text is explanatory rather than duplicate numerical ownership.
Supplementary Figure S5d,Supplementary,IFN/ISG effects across frozen GSE174188 branches,PRUNE_FROM_DISPLAY__EXACT_DUPLICATE,,Figure 3b,"Exact equality to Figure 3b for analysis_name, effect, CI and q-value across all seven frozen branches."
Supplementary Figure S6a,Supplementary,GSE135779 donor support by analysis,KEEP,a,Supplementary Figure S6a,KEEP current refreeze: uniquely unpacks donor support/program family/source-label omission/donor influence; no remaining validation terminology defect.
Supplementary Figure S6b,Supplementary,four-program childhood primary family,KEEP,b,Supplementary Figure S6b,KEEP current refreeze: uniquely unpacks donor support/program family/source-label omission/donor influence; no remaining validation terminology defect.
Supplementary Figure S6c,Supplementary,eight source-label omission estimates,KEEP,c,Supplementary Figure S6c,KEEP current refreeze: uniquely unpacks donor support/program family/source-label omission/donor influence; no remaining validation terminology defect.
Supplementary Figure S6d,Supplementary,four-program donor-deletion influence ranges,KEEP,d,Supplementary Figure S6d,KEEP current refreeze: uniquely unpacks donor support/program family/source-label omission/donor influence; no remaining validation terminology defect.
Supplementary Figure S7a,Supplementary,CAMERA/FRY six-test concordance,KEEP,a,Supplementary Figure S7a,"KEEP: figure provides visual robustness/attenuation structure; Supplementary Tables S4/S4B provide exact values, so roles are complementary."
Supplementary Figure S7b,Supplementary,CAMERA residual-estimated inter-gene correlations,KEEP,b,Supplementary Figure S7b,"KEEP: figure provides visual robustness/attenuation structure; Supplementary Tables S4/S4B provide exact values, so roles are complementary."
Supplementary Figure S7c,Supplementary,exact CAMERA/FRY BH q-value matrix,KEEP,c,Supplementary Figure S7c,"KEEP: figure provides visual robustness/attenuation structure; Supplementary Tables S4/S4B provide exact values, so roles are complementary."
Supplementary Figure S7d,Supplementary,matched signed-target counts,KEEP,d,Supplementary Figure S7d,"KEEP: figure provides visual robustness/attenuation structure; Supplementary Tables S4/S4B provide exact values, so roles are complementary."
Supplementary Figure S8a,Supplementary,ULM after frozen 12-gene IFN-arm depletion,KEEP,a,Supplementary Figure S8a,"KEEP: figure provides visual robustness/attenuation structure; Supplementary Tables S4/S4B provide exact values, so roles are complementary."
Supplementary Figure S8b,Supplementary,ULM after M5911 depletion,KEEP,b,Supplementary Figure S8b,"KEEP: figure provides visual robustness/attenuation structure; Supplementary Tables S4/S4B provide exact values, so roles are complementary."
Supplementary Figure S8c,Supplementary,branch/method BH q-value matrix,KEEP,c,Supplementary Figure S8c,"KEEP: figure provides visual robustness/attenuation structure; Supplementary Tables S4/S4B provide exact values, so roles are complementary."
Supplementary Figure S8d,Supplementary,target retention after depletion,KEEP,d,Supplementary Figure S8d,"KEEP: figure provides visual robustness/attenuation structure; Supplementary Tables S4/S4B provide exact values, so roles are complementary."
Supplementary Figure S9a,Supplementary,end-to-end reconstruction criteria and pass/fail boundary,KEEP,a,Supplementary Figure S9a,KEEP: critical end-to-end reconstruction boundary and propagated disease-effect stability; no main-panel substitute.
Supplementary Figure S9b,Supplementary,B_ASC-specific end-to-end Jaccard failure,KEEP,b,Supplementary Figure S9b,KEEP: critical end-to-end reconstruction boundary and propagated disease-effect stability; no main-panel substitute.
Supplementary Figure S9c,Supplementary,observed broad-state assignment exchanges,KEEP,c,Supplementary Figure S9c,KEEP: critical end-to-end reconstruction boundary and propagated disease-effect stability; no main-panel substitute.
Supplementary Figure S9d,Supplementary,composition propagation after boundary exchange,KEEP,d,Supplementary Figure S9d,KEEP: critical end-to-end reconstruction boundary and propagated disease-effect stability; no main-panel substitute.
Supplementary Figure S9e,Supplementary,IFN/ISG propagation after boundary exchange,KEEP,e,Supplementary Figure S9e,KEEP: critical end-to-end reconstruction boundary and propagated disease-effect stability; no main-panel substitute.
Supplementary Figure S10a,Supplementary,legacy normalization-denominator discrepancy,KEEP,a,Supplementary Figure S10a,KEEP: unique corrected mapping-calibration failure and transfer boundary; essential negative-result owner.
Supplementary Figure S10b,Supplementary,per-state mapping precision under corrected calibration,KEEP,b,Supplementary Figure S10b,KEEP: unique corrected mapping-calibration failure and transfer boundary; essential negative-result owner.
Supplementary Figure S10c,Supplementary,reference-cell coverage under corrected calibration,KEEP,c,Supplementary Figure S10c,KEEP: unique corrected mapping-calibration failure and transfer boundary; essential negative-result owner.
Supplementary Figure S10d,Supplementary,donor-grouped diagnostic balanced accuracy,KEEP,d,Supplementary Figure S10d,KEEP: unique corrected mapping-calibration failure and transfer boundary; essential negative-result owner.
