scope,edit,object_type,rationale,old_text,new_text,scientific_estimate_changed
Manuscript,External gene and influence evidence owner,RESULTS,Attach cross-dataset gene concordance to its display.,all ten IFN genes jointly tested in the primary GSE174188 and childhood GSE135779 analyses were positive in both datasets.,"all ten IFN genes jointly tested in the primary GSE174188 and childhood GSE135779 analyses were positive in both datasets (Fig. 4c,d).",False
Manuscript,External remapping heading precision,HEADING,Name the source-label-independent sensitivity explicitly.,### Corrected external remapping does not satisfy the prespecified calibration criterion,### Corrected source-label-independent remapping does not satisfy the prespecified calibration criterion,False
Manuscript,S10 evidence owner terminology,RESULTS,Use an unambiguous supplementary figure callout.,(Supplementary Table S9 and Fig. S10),(Supplementary Table S9 and Supplementary Fig. S10),False
Manuscript,Regulator evidence owner,RESULTS,Attach ULM and specificity claims to the panels that own them.,The proliferation specificity comparators did not reproduce a positive globally significant pattern across all three contrasts.,The proliferation specificity comparators did not reproduce a positive globally significant pattern across all three contrasts (Fig. 5a-c).,False
Manuscript,Correlation-aware evidence owner,RESULTS,Attach the CAMERA limitation to its detailed display.,not universal significance across methods.,not universal significance across methods (Supplementary Fig. S7).,False
Manuscript,Overlap-depletion evidence owner,RESULTS,Attach the broader-interferon coupling boundary to its detailed display.,it remains partly coupled to the broader interferon-response transcriptome.,it remains partly coupled to the broader interferon-response transcriptome (Supplementary Fig. S8).,False
Manuscript,Response evidence owner,RESULTS,Attach orthogonal response context to its panels.,No inferential P value was calculated at n=2.,"No inferential P value was calculated at n=2 (Fig. 5d,e).",False
Manuscript,Discussion opening compression,DISCUSSION,Keep the main interpretive delta while removing repeated metric narration.,"The central finding of this study is not a new B-cell taxonomy but a difference in reproducibility across biological layers. Fine-grained B-cell state assignments did not satisfy the prespecified stability criteria, and even the broad B_CONV/B_ASC partition failed one state-specific end-to-end criterion because B_ASC membership was less reproducible than the global partition metrics suggested. Retaining that failure changed the interpretation of the study: B_CONV/B_ASC is used as an analysis scaffold, not as a transferable taxonomy. Within that bounded scaffold, assignment uncertainty did not alter the primary B_ASC composition null or the positive B_CONV IFN/ISG effects. The supported result is a process-level interferon association within these inferential limits; neither a disease-defining cell-state label nor generalized B_ASC expansion was established.","The central finding of this study is a difference in reproducibility across biological layers, not a new B-cell taxonomy. Fine-state assignments were unsupported, and the retained broad scaffold still carried a B_ASC-specific end-to-end limitation. Preserving that failure constrained B_CONV/B_ASC to an analysis scaffold rather than a transferable taxonomy. Within this scope, assignment uncertainty did not change the primary B_ASC composition interpretation or the direction of B_CONV IFN/ISG effects. The supported result is therefore a process-level interferon association within explicit identity limits, not a disease-defining cell-state label or generalized B_ASC expansion.",False
Manuscript,External-replication discussion compression,DISCUSSION,Preserve the program-versus-transcriptome contrast and calibration boundary with less repetition.,"The independent, source-label-defined GSE135779 analysis strengthens that process-level interpretation while also defining its limits. The childhood cohort reproduced the frozen IFN/ISG program, donor-deletion and source-label-omission analyses retained the direction, and all ten jointly tested IFN genes were positive in both primary datasets. Yet the genome-wide effect correlation was only rho=0.026. These observations are not contradictory: a transcriptome-wide correlation asks whether thousands of gene effects agree across cohorts that differ in age structure, source annotation, processing, covariates and gene universe, whereas the program analysis asks whether a prespecified coherent biological response retains direction and statistical support. The data support the latter but do not establish the stronger claim of a globally shared disease transcriptome. Importantly, a corrected attempt to reconstruct the external mapping without source labels failed its prespecified B_ASC calibration criterion, and no corrected disease outcome was estimated. Independent replication therefore remains tied to the prespecified source-label-defined broad B-cell analogue rather than demonstrating de novo taxonomy transfer.","The independent, source-label-defined GSE135779 analysis strengthens that process-level interpretation while also defining its limits. The childhood IFN/ISG result remained positive under donor and source-label omission, and all ten jointly tested IFN genes were concordant across the two primary datasets. Yet the genome-wide effect correlation was only rho=0.026. These observations are not contradictory: transcriptome-wide correlation asks whether thousands of gene effects agree across cohorts that differ in age structure, annotation, processing, covariates and gene universe, whereas the program analysis asks whether a prespecified coherent response retains direction and statistical support. The data support the latter, not a globally shared disease transcriptome. Corrected source-label-independent remapping then failed its prespecified B_ASC calibration criterion, so independent replication remains tied to the broad source-label-defined analogue rather than demonstrating de novo taxonomy transfer.",False
Manuscript,Discussion primary-composition interpretation,DISCUSSION,Avoid treating a non-significant primary contrast as a proven null effect.,is compatible with our secondary positive flare estimate and does not conflict with the null primary comparison in the source-defined managed-SLE group.,"is compatible with our secondary positive flare estimate and does not conflict with the primary comparison, which lacked statistical support in the source-defined managed-SLE group.",False
Manuscript,Discussion negative-result boundary,DISCUSSION,Describe the primary composition evidence by its supported inferential state.,and the primary composition null should not be displaced by the secondary flare contrast.,and the absence of statistical support in the primary composition contrast should not be displaced by the secondary flare contrast.,False
Manuscript,Figure 1 legend scope,LEGEND,Describe the retained analytical scope without implying a validated identity taxonomy.,### Figure 1 | Disease-blind reconstruction defines the permissible identity scope,### Figure 1 | Disease-blind reconstruction defines the retained analysis scope,False
Supplementary Information,S1 external analogue terminology,TABLE,Use the manuscript's British-English terminology.,Broad conventional-B analog; childhood primary,Broad conventional-B analogue; childhood primary,False
Supplementary Information,S2 composition boundary,TABLE,Avoid treating a non-significant contrast as proof of a null or equivalence.,| Null primary B_ASC relative-abundance result | General B_ASC expansion in SLE |,| Primary B_ASC contrast lacks statistical support | General B_ASC expansion in SLE |,False
Supplementary Information,S2 regulator method ownership,TABLE,Name ULM as the method owning the concordant activity estimate.,| Convergent STAT1/STAT2 target activity | Causal TF activation or direct binding |,| ULM STAT1/STAT2 activity concordant across three contrasts | Causal TF activation or direct binding |,False
Supplementary Information,S3 reader-facing title,TABLE_HEADING,Replace internal freeze vocabulary with the scientific role of the table.,## Supplementary Table S3 | Frozen quantitative anchors,## Supplementary Table S3 | Quantitative anchors and prespecified boundaries,False
Supplementary Information,S3 reader-facing column,TABLE,Remove internal freeze vocabulary from a reader-facing column heading.,| Analysis | Frozen result |,| Analysis | Result |,False
Supplementary Information,S3 end-to-end boundary,TABLE,State the unmet criterion directly instead of exposing workflow status terminology.,| End-to-end identity sensitivity | formal HOLD; minimum mapped ARI 0.930; minimum agreement 0.9988; B_ASC median Jaccard 0.930 below 0.95 criterion |,| End-to-end identity sensitivity | prespecified criterion not met; minimum mapped ARI 0.930; minimum agreement 0.9988; B_ASC median Jaccard 0.930 below 0.95 criterion |,False
Supplementary Information,S9 prior-outcome boundary,TABLE,Describe chronology without internal preregistration jargon.,"| Prior outcome exposure | Original sensitivity outcomes were known before correction | Technical correction, not new prospective preregistration |",| Prior outcome exposure | Original sensitivity outcomes were known before correction | Post-outcome correction; not prospective validation |,False
Supplementary Information,S9 evidence boundary,TABLE,Describe evidence ownership rather than publication workflow state.,| Publication boundary | Primary GSE135779 replication remains source-label-defined | Original C9 PASS and effect estimates excluded from supporting evidence |,| Evidence boundary | Primary GSE135779 replication remains source-label-defined | Superseded uncorrected outcomes excluded from supporting evidence |,False
Supplementary Information,S9 figure legend criterion language,LEGEND,Synchronize the legend with the reader-facing source replot.,"**a,** Observed values and unchanged criteria for the five formal end-to-end two-compartment checks; four passed and minimum state-median Jaccard produced HOLD. **b,** State Jaccard across 20 complete reconstruction replicates shows that the formal failure is localized to B_ASC, while B_CONV remains above the 0.95 criterion. **c,** Counts of sampled cells exchanged across the B_CONV/B_ASC boundary. **d,** Primary B_ASC composition odds ratios and 95% confidence intervals after each observed boundary exchange; the dashed guide marks one and the orange line marks the frozen estimate. **e,** Primary and donor-nonoverlap B_CONV IFN/ISG effects after boundary-cell raw counts were propagated through frozen TMM logCPM and HC3 models; dotted lines mark the frozen effects. All propagation analyses reuse GSE174188 and quantify assignment sensitivity rather than independent replication.","**a,** Observed values and prespecified criteria for five end-to-end two-compartment checks; four met their criteria and minimum state-median Jaccard did not. **b,** State Jaccard across 20 complete reconstruction replicates localizes the unmet overlap criterion to B_ASC, while B_CONV remains above 0.95. **c,** Counts of sampled cells exchanged across the B_CONV/B_ASC boundary. **d,** Primary B_ASC composition odds ratios and 95% confidence intervals after each observed boundary exchange; the dashed guide marks one and the orange line marks the frozen estimate. **e,** Primary and donor-nonoverlap B_CONV IFN/ISG effects after boundary-cell raw counts were propagated through frozen TMM logCPM and HC3 models; dotted lines mark the frozen effects. All propagation analyses reuse GSE174188 and quantify assignment sensitivity rather than independent replication.",False
Supplementary Information,S10 source-label terminology,FIGURE_HEADING,Match the manuscript's source-label-independent sensitivity terminology.,## Supplementary Figure S10 | Reference calibration limits source-label-agnostic external transfer,## Supplementary Figure S10 | Reference calibration limits source-label-independent external transfer,False
